icao_code,iata_code,name,iso_country,latitude_deg,longitude_deg,type
BIAR,AEY,Akureyri International Airport,IS,65.656573,-18.072018,large_airport
BIEG,EGS,Egilsstaðir Airport,IS,65.2833023071289,-14.401399612426758,medium_airport
BIGR,GRY,Grímsey Airport,IS,66.5458,-18.0173,medium_airport
BIHN,HFN,Hornafjörður Airport,IS,64.295601,-15.2272,medium_airport
BIIS,IFJ,Ísafjörður Airport,IS,66.058098,-23.1353,medium_airport
BIKF,KEF,Keflavik International Airport,IS,63.985001,-22.6056,large_airport
BIRK,RKV,Reykjavík Domestic Airport,IS,64.128732,-21.93759,medium_airport
BIVO,VPN,Vopnafjörður Airport,IS,65.720596,-14.8506,medium_airport
BKPR,PRN,Priština Adem Jashari International Airport,XK,42.5728,21.035801,large_airport
EBAW,ANR,Antwerp International Airport (Deurne),BE,51.190667,4.463153,medium_airport
EBBR,BRU,Brussels Airport,BE,50.901402,4.48444,large_airport
EBCI,CRL,Brussels South Charleroi Airport,BE,50.461963,4.459562,large_airport
EBLG,LGG,Liège Airport,BE,50.638574,5.443897,medium_airport
EBOS,OST,Ostend-Bruges International Airport,BE,51.1998,2.874673,large_airport
EDAH,HDF,Heringsdorf Airport,DE,53.8787,14.1523,medium_airport
EDDB,BER,Berlin Brandenburg Airport,DE,52.361738,13.502341,large_airport
EDDC,DRS,Dresden Airport,DE,51.134123,13.767831,large_airport
EDDE,ERF,Erfurt-Weimar Airport,DE,50.978281,10.960713,large_airport
EDDF,FRA,Frankfurt Main Airport,DE,50.026706,8.55835,large_airport
EDDG,FMO,Münster Osnabrück Airport,DE,52.133816,7.688482,large_airport
EDDH,HAM,Hamburg Helmut Schmidt Airport,DE,53.630402,9.98823,large_airport
EDDK,CGN,Cologne Bonn Airport,DE,50.865898,7.14274,large_airport
EDDL,DUS,Düsseldorf Airport,DE,51.289501,6.76678,large_airport
EDDM,MUC,Munich Airport,DE,48.353802,11.7861,large_airport
EDDN,NUE,Nuremberg Airport,DE,49.498699,11.078056,large_airport
EDDP,LEJ,Leipzig/Halle Airport,DE,51.420657,12.232705,large_airport
EDDR,SCN,Saarbrücken Airport,DE,49.214545,7.109735,medium_airport
EDDS,STR,Stuttgart Airport,DE,48.689899,9.22196,large_airport
EDDV,HAJ,Hannover Airport,DE,52.461102,9.68508,large_airport
EDDW,BRE,Bremen Airport,DE,53.046786,8.78932,large_airport
EDFH,HHN,Frankfurt-Hahn Airport,DE,49.946353,7.261734,large_airport
EDFM,MHG,Mannheim-City Airport,DE,49.473057,8.514167,medium_airport
EDHL,LBC,Lübeck Blankensee Airport,DE,53.805401,10.7192,medium_airport
EDJA,FMM,Memmingen Allgau Airport,DE,47.988092,10.238248,large_airport
EDLP,PAD,Paderborn Lippstadt Airport,DE,51.612527,8.617459,large_airport
EDLV,NRN,Weeze (Niederrhein) Airport,DE,51.601362,6.141228,large_airport
EDLW,DTM,Dortmund Airport,DE,51.518299,7.61224,large_airport
EDNY,FDH,Bodensee Airport Friedrichshafen,DE,47.671299,9.51149,large_airport
EDSB,FKB,Karlsruhe Baden-Baden Airport,DE,48.7794,8.0805,large_airport
EDVK,KSF,Kassel Airport,DE,51.418395,9.391638,large_airport
EDXW,GWT,Westerland Sylt Airport,DE,54.9132,8.34047,medium_airport
EEKA,KDL,Kärdla Airport,EE,58.99079895019531,22.830699920654297,medium_airport
EEKE,URE,Kuressaare Airport,EE,58.22990036010742,22.50950050354004,medium_airport
EEPU,EPU,Pärnu Airport,EE,58.41899871826172,24.47279930114746,medium_airport
EETN,TLL,Lennart Meri Tallinn Airport,EE,59.413246,24.83264,large_airport
EETU,TAY,Tartu Airport,EE,58.307438,26.686473,medium_airport
EFET,ENF,Enontekio Airport,FI,68.362602233887,23.424299240112,medium_airport
EFHK,HEL,Helsinki Vantaa Airport,FI,60.318363,24.963341,large_airport
EFIV,IVL,Ivalo Airport,FI,68.6073,27.4053,large_airport
EFJO,JOE,Joensuu Airport,FI,62.658815,29.619398,medium_airport
EFJY,JYV,Jyväskylä Airport,FI,62.399502,25.678301,medium_airport
